track,stored_sector,offset_hex,sha256,entropy,zero_bytes,high_bit_bytes,distinct_bytes
12,12,0x0cc00,7196e837d6a1868644aa350a8b9f430d56e21944d36b724ad16540674cc07c8d,5.778265,5,146,80
12,13,0x0cd00,3005a90a6cca2eac6badeaeb0b9bf28b00905a7b608350ffff7765b3cc7d9c6d,5.994486,6,124,92
12,14,0x0ce00,18bb0bc7a31dbef8d401b8a664f0adfc68c707947aabd50924f0b40517f05d28,2.765835,126,79,33
12,15,0x0cf00,6ae110019b525346e48efa3d804e31eb9c771f700f1133312f41c37b7334c8fe,5.726593,6,120,82
13,0,0x0d000,06ce7ad5bea566be7a43deacd0ad598b68c199764e481de21061ffb2224766a8,5.620870,8,130,79
13,1,0x0d100,44aa16ff989063dc98c417999fce33d6a7284087f490077fa6375362e97a8ea4,5.579962,6,115,75
13,2,0x0d200,849872b91743a0aeeb18f4b321f88c4d92a62546a9d43e53da287c5846f56203,5.713793,3,129,82
13,3,0x0d300,c204de46d1b09cee6581f251b983b7225a19d3388657fdeeed65b1e1a331e0e8,5.709588,5,111,80
13,4,0x0d400,6c70084fa7d4787634c0e41c0497d848ee57384467858df1bc5aee68bbb5f26c,5.677534,4,131,82
13,5,0x0d500,86b4f1d26817308e09765c2d01244f07d3ce9b5b2c02722d4741d4fc48d8c7b8,5.597114,4,125,82
